製品名	リスク区分	主な有効成分	何に効くか（特長）
ロキソニンS	第1類	ロキソプロフェン	痛みの原因をすばやく抑える。解熱鎮痛効果が高い。
ガスター10	第1類	ファモチジン	胃酸の出すぎをコントロール。胃痛、もたれに。
ベンザブロックIPプレミアム	指定第2類	イブプロフェン	基準内最大量配合。特につらい熱・寒気に。
パブロンSα（微粒）	指定第2類	ブロムヘキシン	たんを切りやすくする成分を配合。家族で使いやすい。
新ルルA錠s	指定第2類	クレマスチン	鼻水・くしゃみを抑える力が強く、小粒で飲みやすい。
エスタック総合感冒薬	指定第2類	アセトアミノフェン	複数の鎮痛成分を組み合わせた「ACE処方」。
コルゲンコーワIB錠TXα	指定第2類	トラネキサム酸	のどの痛みと、絡みつくたんを伴う風邪に特化。
ストナジェルサイナスEX	指定第2類	ベラドンナ総アルカロイド	止まらない鼻水・鼻づまりを素早く抑制。
プレコール持続性せき止め	指定第2類	デキストロメトルファン	風邪の後のしつこい咳に。朝晩2回で長く効く。
新コンタックかぜ総合	指定第2類	アセトアミノフェン	せき・熱・鼻みずに1日2回で持続的に効く。
ジキニン顆粒	指定第2類	ジヒドロコデイン	昔ながらの粉薬。喉の炎症を抑える生薬配合。
エスタックイブ	指定第2類	イブプロフェン	痛みに速く効く。喉の痛みや頭痛が目立つ時に。
イブクイック頭痛薬DX	指定第2類	イブプロフェン	頭痛に速く効く。胃を守る成分も配合。
ナロン錠	指定第2類	エテンザミド	発熱や痛みに。ACE処方で効果を高めている。
アレグラFX	第2類	フェキソフェナジン	花粉症等の鼻水に。眠くなりにくい。
大正製薬漢方かぜ薬	第2類	葛根湯（生薬）	眠くならず、寒気がある風邪の初期に。
太田胃散	第2類	ケイヒ、ウイキョウ	生薬の力で、飲みすぎ・食べすぎを改善。
正露丸	第2類	木クレオソート	お腹を温めて、下痢や食あたりを改善する。
ムヒAZ錠	第2類	アゼラスチン	じんましんや痒みを体の内側から抑える。
ビオフェルミン止下痢薬	第2類	タンニン酸ベルベリン	下痢の不快感を抑え、腸内環境を整える。
龍角散ダイレクト	第3類	キキョウ、セネガ	喉の粘膜に直接作用。水なしで飲める。
